id,name,property_type,room_type,accommodates,bathrooms,bedrooms,price,extra_people,minimum_nights,number_of_reviews,review_scores_rating,cancellation_policy,reviews_per_month
4873463,"Cozy Pied-a-Terre, the Heart of DC",Apartment,Entire home/apt,3,1,0,95.00,10.00,2,29,94,flexible,1.01
16736650,"Large, welcoming studio in a central location",Apartment,Entire home/apt,2,1,0,200.00,0.00,1,2,90,flexible,0.55
14999877,Newly Renovated Apartment in the Heart of DC,Apartment,Entire home/apt,2,1,1,100.00,0.00,27,0,,moderate,
5955860,Spacious Dupont Circle Condo ,Apartment,Entire home/apt,3,1,1,129.00,50.00,2,79,85,flexible,3.13
15655208,Luxury historic rowhouse; Adams Morgan/Dupont/UStr,Townhouse,Entire home/apt,4,2.5,2,500.00,0.00,2,1,100,strict,1
4022565,"Dupont, Adams Morgan, U Townhouse 3",Apartment,Private room,2,2.5,1,110.00,15.00,6,7,97,strict,0.23
15968425,"Cozy 1-BR Apartment in Dupont, Walk Score of 98",Apartment,Entire home/apt,3,1,1,225.00,20.00,3,3,100,flexible,0.82
1301700,DuPont/Logan Circle Studio,Apartment,Entire home/apt,2,1,1,79.00,0.00,3,4,89,flexible,0.09
646183,2 Bed - Dupont/Adams Morgan/U St,Apartment,Entire home/apt,4,1,2,172.00,0.00,1,24,88,flexible,0.48
14769106,Spacious & Sunny 1BR Apt @Dupont Circle with view!,Apartment,Private room,2,1,1,110.00,10.00,1,4,100,moderate,0.67
16669509,15th Street Luxury Loft with parking,Apartment,Entire home/apt,4,2,2,1700.00,0.00,2,0,,flexible,
18373434,A local's paradise,Apartment,Entire home/apt,3,1,1,110.00,0.00,1,0,,flexible,
16243414,Hip Studio in Dupont Circle/U Street,Apartment,Entire home/apt,2,1,0,110.00,0.00,2,23,99,strict,5.66
15784674,Dupont Circle Open Loft,Loft,Entire home/apt,2,1,0,115.00,0.00,3,3,100,flexible,1.41
4218583,"Dupont, Adams Morgan U Townhouse 2",House,Private room,2,2.5,1,99.00,20.00,7,6,97,moderate,0.2
13098667,"Sunny, Comfortable Studio in Ideal Location",Apartment,Entire home/apt,2,1,0,95.00,0.00,2,5,88,flexible,0.43
16244345,"1 bedroom in beautiful apartment, great location!",Apartment,Private room,2,1,1,50.00,0.00,20,1,100,flexible,0.19
5560185,Dupont West 3: Charming Studio,Townhouse,Entire home/apt,2,1,0,150.00,0.00,2,129,99,moderate,5.06
5560149,Bright apartment in Dupont Circle,Apartment,Entire home/apt,2,1,1,150.00,15.00,1,19,96,moderate,0.95
15554376,Extraordinary Dupont Circle Suite,Townhouse,Private room,3,1,2,95.00,50.00,3,11,95,strict,1.84
12932894,Great 1 br apt in perfect location,Apartment,Entire home/apt,3,1,1,150.00,0.00,1,4,100,moderate,0.35
16602888,Cute 2 BR 2.5 BA in the heart of it all!,Condominium,Entire home/apt,4,2.5,2,800.00,0.00,2,0,,flexible,
16604304,2-BR/1-BA duplex in Dupont Circle,Apartment,Entire home/apt,5,1,2,300.00,0.00,1,0,,moderate,
3329489,Yellow ADMO Row House,House,Private room,2,1,1,128.00,40.00,1,0,,flexible,
12833506,U ST- Adams Morgan,Apartment,Entire home/apt,4,1,2,400.00,0.00,1,3,87,moderate,0.27
8704621,Beautiful DuPont Circle Studio #714,Apartment,Entire home/apt,2,1,0,135.00,25.00,1,122,98,strict,6.33
16437901,Spacious and Convenient Dupont studio,Apartment,Entire home/apt,3,1,0,120.00,0.00,2,3,100,strict,0.78
16405079,DC Proper - The Lincoln Room,House,Private room,2,1,0,135.00,0.00,1,33,92,flexible,7.07
17879596,Beautiful room in historic U Street rowhouse,Apartment,Private room,2,1.5,1,65.00,0.00,1,5,100,moderate,3.06
4351015,Quiet room near Dupont Circle metro,House,Private room,1,1.5,1,74.00,0.00,3,14,89,moderate,0.45
10836110,Stylish 1BR steps to 14th / Logan hot spots!,Apartment,Entire home/apt,2,1,1,130.00,50.00,3,47,99,moderate,3.19
150109,Great apartment in perfect location,Apartment,Entire home/apt,2,1,1,135.00,20.00,6,22,98,strict,0.33
13748806,"Perfect location in DuPont, D.C.",Apartment,Entire home/apt,4,1,1,275.00,0.00,1,0,,flexible,
1198461,"DuPont Place 9 - Metro, kitchenette",Apartment,Entire home/apt,3,1,1,179.00,5.00,2,57,94,strict,1.33
5294453,Stylish Studio in Dupont Circle,Apartment,Private room,2,1,1,100.00,30.00,1,0,,flexible,
1198315,"DuPont Place 6, Metro, kitchenette",Apartment,Entire home/apt,2,1,0,129.00,0.00,2,85,92,strict,1.88
2808417,"Upscale 1 BR (Dupont, U & 14th St.)",Apartment,Entire home/apt,3,1,1,140.00,0.00,2,66,99,strict,1.79
17586779,Large Studio in Central Dupont Location,Apartment,Entire home/apt,2,1,0,95.00,15.00,1,5,90,flexible,2.78
7800582,Dupont #2 Condo. Prime Location,Apartment,Entire home/apt,2,1,1,132.00,15.00,3,31,98,strict,3.43
16143403,Huge Dupont apartment short walk from White House,Apartment,Entire home/apt,5,1,1,1000.00,0.00,2,0,,strict,
16176174,B - Great room for business traveler - Heart of DC,House,Private room,1,1,1,120.00,50.00,1,0,,strict,
16627888,3 storey rowhome in perfect location!,House,Entire home/apt,6,2.5,3,160.00,0.00,1,0,,flexible,
10340334,U Street/Dupont/AdamsMo 1BR!,Apartment,Entire home/apt,2,1,1,150.00,0.00,2,1,100,flexible,0.09
