X,Y,OBJECTID,PARTICIPANT_CODE,FORMAL_PARTICIPANT_NAME,DEVELOPMENT_CODE,PROJECT_NAME,SCATTERED_SITE_IND,PD_STATUS_TYPE_CODE,TOTAL_UNITS,TOTAL_DWELLING_UNITS,ACC_UNITS,TOTAL_OCCUPIED,REGULAR_VACANT,PHA_TOTAL_UNITS,PCT_OCCUPIED,NUMBER_REPORTED,PCT_REPORTED,MONTHS_SINCE_REPORT,PCT_MOVEIN,PEOPLE_PER_UNIT,PEOPLE_TOTAL,RENT_PER_MONTH,SPENDING_PER_MONTH,HH_INCOME,PERSON_INCOME,PCT_LT5K,PCT_5K_LT10K,PCT_10K_LT15K,PCT_15K_LT20K,PCT_GE20K,PCT_WAGE_MAJOR,PCT_WELFARE_MAJOR,PCT_OTHER_MAJOR,PCT_MEDIAN,PCT_LT50_MEDIAN,PCT_LT30_MEDIAN,PCT_2ADULTS,PCT_1ADULT,PCT_FEMALE_HEAD,PCT_FEMALE_HEAD_CHILD,PCT_DISABLED_LT62,PCT_DISABLED_GE62,PCT_DISABLED_ALL,PCT_LT24_HEAD,PCT_AGE25_50,PCT_AGE51_61,PCT_AGE62PLUS,PCT_AGE85PLUS,PCT_MINORITY,PCT_BLACK,PCT_NATIVE_AMERICAN,PCT_ASIAN,PCT_HISPANIC,MONTHS_WAITING,MONTHS_FROM_MOVEIN,PCT_UTILITY_ALLOW,AVE_UTIL_ALLOW,PCT_BED1,PCT_BED2,PCT_BED3,PCT_OVERHOUSED,TMINORITY,TPOVERTY,TPCT_OWNSFD,STATE2KX,CNTY_NM2KX,CNTY2KX,TRACT2KX,BG2KX,BLOCK2KX,DPVACT,DPVNOST,CURCNTY_NM,CURCNTY,CURCOSUB,CURCOSUB_NM,PLACE2KX,PLACE_NM2KX,PLACE_CC2KX,PLACE_INC2KX,MSA,MSA_NM,CBSA,CBSA_NM,NECTA,NECTA_NM,METRO,MICRO,FCD_FIPS91,HLC,DPV,DPVRC,STD_ADDR,URB_OUT,STD_CITY,STD_ST,STD_ZIP5,STD_ZIP9,ZIP_CLASS,ZCTA2KX,DPBC,DPBC_CKSUM,STD_ZIP11,ADDR_TYPE,APT_NO,APT_TYPE,C1PGRC,C1PPRB,C1PDRC,C1PSRC,C1PARC,C1PZRC,MSGUSPS,LAT,LON,RC2KX,STM2KX,LVL2KX,UR,MSG2KX,COUNTY_LEVEL,PLACE_LEVEL,TRACT_LEVEL,BLKGRP_LEVEL,SPENDING_PER_MONTH_PREV_YR,CHLDRN_MBR_CNT,ELDLY_PRCNT,PCT_DISABLED_LT62_ALL,PCT_LT80_MEDIAN,MEDIAN_INC_AMNT,LAST_UPDT_DTTM,ANNL_EXPNS_AMNT,ANNL_EXPNS_AMNT_PREV_YR,HA_PHN_NUM,HA_FAX_NUM,HA_EMAIL_ADDR_TEXT,EXEC_DIR_PHONE,EXEC_DIR_FAX,EXEC_DIR_EMAIL
-79.9944,35.9431,151,NC006,Housing Authority of the City of High Point,NC006000024,Park Terrace Phase 2 (Clara Cox II),N,M,92,92,17,14,3,1146,82.360001,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,37,Guilford,81,14200,3,,N,Y,Guilford,81,91484,High Point,31400,High Point city (part),C1,,9999,,24660,"Greensboro-High Point, NC Metropolitan Statistical Area",99999,,1,0,3706,1356,S,,805 Sharon Way,,High Point,NC,27260,7695,,27260,99,8,27260769599,H,,,,1,,,A,,90% Overall probable correctness,35.9431,-79.9944,9,H,B,U,**  Centroid Lat/Long   **,37081,3731400,37081014200,3.7081E+11,-4,-4,-4,-4,-4,-4,2022/01/06 20:00:29+00,-4,-4,3368872661,3368872414,amcgill@hpha.net,3368782375,3368872996,amcgill@hpha.net
-79.753519,36.070095,152,NC011,Housing Authority of the City of Greensboro,NC011030095,PARKVIEW APARTMENTS,N,M,81,81,24,21,3,965,87.5,13,61.9,15,0,1.5,20,189,781,8202,5331,33.33,33.33,16.67,8.33,8.33,61.54,0,30.77,12.31,100,84.62,0,30.77,84.62,30.77,0,0,0,15.38,61.54,23.08,0,0,100,92.31,0,7.69,0,0,101,92.31,74,0,100,0,61.54,96.46,31.2,50.15,37,Guilford,81,11101,1,1014,N,N,Guilford,81,91228,Gilmer,28000,Greensboro city (part),C1,,9999,,24660,"Greensboro-High Point, NC Metropolitan Statistical Area",99999,,1,0,3706,1188,S,,2302A Apache St,,Greensboro,NC,27401,4309,,27401,2,8,27401430902,S,,,,1,,,A,,90% Overall probable correctness,36.070095,-79.753519,9,H,4,U,**  Centroid Lat/Long   **,37081,3728000,37081011101,3.7081E+11,696,6,0,0,100,9312,2022/01/06 20:00:29+00,196871,183752,3362758501,3363781307,jcox@gha-nc.org,3363033116,3363781307,jcox@gha-nc.org
-80.230839,36.113967,153,NC012,Housing Authority of the City of Winston-Salem,NC012000006,CLEVELAND AVENUE HOMES,N,M,244,241,241,227,14,1433,94.190002,219,96.48,6,10.5,2.5,555,238,559,9965,3932,17.26,35.12,19.64,6.55,21.43,27.85,1.83,47.03,14.47,94.52,80.37,1.37,60.73,85.39,57.99,26.15,62.5,14.05,10.05,61.64,17.35,10.96,0.91,97.72,96.35,0,0.46,0.91,15,82,0,0,12.79,48.4,38.81,29.22,98.95,47.56,54.05,37,Forsyth,67,500,2,2011,N,N,Forsyth,67,94068,Winston,75000,Winston-Salem city,C1,,3120,"Greensboro--Winston-Salem--High Point, NC MSA",49180,"Winston-Salem, NC Metropolitan Statistical Area",99999,,1,0,3706,3180,S,,1524 N Cleveland Ave,,Winston Salem,NC,27105,6639,,27105,24,5,27105663924,S,,,,1,,,A,,90% Overall probable correctness,36.113967,-80.230839,S,,R,U,** Street-Level Rooftop **,37067,3775000,37067000500,3.7067E+11,523,314,4.5,11.17000008,99.54000092,9464,2022/01/06 20:00:29+00,1521990,1468058,3369176119,3369176119,kcheshire@haws.org,3369176119,,kcheshire@haws.org
-80.246981,36.112074,154,NC012,Housing Authority of the City of Winston-Salem,NC012000030,AZALEA TERRACE,N,M,100,100,50,50,0,1433,100,50,100,6,18,1,51,311,559,13077,12821,0,44,34,10,12,2,0,98,19,98,64,0,0,78,0,75,43.48,45.1,0,0,8,92,8,96,94,0,0,2,10,90,100,85,100,0,0,0,99,55.87,40.72,37,Forsyth,67,301,1,1028,N,N,Forsyth,67,94068,Winston,75000,Winston-Salem city,C1,,3120,"Greensboro--Winston-Salem--High Point, NC MSA",49180,"Winston-Salem, NC Metropolitan Statistical Area",99999,,1,0,3706,3180,S,,100 Azalea Terrace Ct,,Winston Salem,NC,27105,5977,,27105,0,7,27105597700,S,,,,3,,,A,,70% Overall probable correctness,36.112074,-80.246981,S,,R,U,** Street-Level Rooftop **,37067,3775000,37067000301,3.7067E+11,523,0,92.16000366,5.88000011,100,12477,2022/01/06 20:00:29+00,335250,313687,3369176119,3369176119,kcheshire@haws.org,3369176119,,kcheshire@haws.org
-77.97605,35.379356,155,NC015,Housing Authority of the City of Goldsboro,NC015000700,Oleander Avenue Duplex,Y,M,2,2,2,2,0,1190,100,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,37,Wayne,191,1400,1,1007,N,Y,Wayne,191,91260,Goldsboro,26880,Goldsboro city (part),C1,,2980,"Goldsboro, NC MSA",24140,"Goldsboro, NC Metropolitan Statistical Area",99999,,1,0,3701,1158,S,,200 N Oleander Ave,,Goldsboro,NC,27530,5262,,27530,0,8,27530526200,S,,,,3,,,A,,70% Overall probable correctness,35.379356,-77.97605,S,,R,U,** Street-Level Rooftop **,37191,3726880,37191001400,3.7191E+11,-4,-4,-4,-4,-4,-4,2022/01/06 20:00:29+00,-4,-4,9197355650,9197314402,agoodson@hacg.org,9197354226,9197314402,agoodson@hacg.org
-78.650424,35.782082,184,NC002,Housing Authority of the City of Raleigh,NC002000015,CARRIAGE HOUSE,N,M,101,100,100,99,0,1435,99,98,98.99,7,12.24,1,101,301,610,12696,12319,3.09,39.18,38.14,11.34,8.25,4.08,0,94.9,13.34,97.96,91.84,0,0,50,0,93.33,49.4,55.45,0,0,15.31,84.69,2.04,84.69,76.53,1.02,1.02,6.12,33,108,0,0,100,0,0,0,19.41,13.79,10.3,37,Wake,183,50300,2,2016,N,N,Wake,183,92612,Raleigh,55000,Raleigh city (part),C1,,6640,"Raleigh-Durham-Chapel Hill, NC MSA",39580,"Raleigh-Cary, NC Metropolitan Statistical Area",99999,,1,0,3702,2304,Y,,116 Saint Marys St Apt 511,,Raleigh,NC,27605,1883,,27605,36,1,27605188336,H,511,Apt,,0,,,,,100% Overall probable correctness,35.782082,-78.650424,S,,R,U,** Street-Level Rooftop **,37183,3755000,37183050300,3.71831E+11,575,0,84.16000366,13.85999966,100,11124,2022/01/06 20:00:29+00,724548,683344,9198316416,9198316160,info@rhaonline.com,9195081301,9198316160,info@rhaonline.com
-77.574434,35.285258,185,NC004,Housing Authority of the City of Kinston,NC004000007,JACK ROUNDTREE,N,M,125,125,125,123,1,721,98.410004,124,100,5,12.9,2.5,311,255,632,11518,4592,34.68,25,12.9,11.29,16.13,32.26,1.61,66.13,22.97,90.32,71.77,0,68.55,92.74,66.94,21.36,71.43,15.76,10.48,62.1,10.48,16.94,0.81,95.16,92.74,0,0.81,1.61,2,97,0,0,0,54.84,45.16,29.03,94.61,41.36,73.52,37,Lenoir,107,10500,2,2016,N,N,Lenoir,107,91704,Kinston,35920,Kinston city (part),C1,,9999,,28820,"Kinston, NC Micropolitan Statistical Area",99999,,0,1,3703,1542,Y,,709 Marilyn Dr Apt A,,Kinston,NC,28501,2372,,28501,73,0,28501237273,H,A,Apt,,2,,,,,80% Overall probable correctness,35.285258,-77.574434,S,,R,U,** Street-Level Rooftop **,37107,3735920,37107010500,3.7107E+11,572,172,7.4000001,10.28999996,96.76999664,9528,2022/01/06 20:00:29+00,932537,838161,2525231195,2525237984,kha@khanc.org,2525231195,2525237984,rabbott@khanc.org
-79.115048,34.506324,207,NC047,Fairmont Housing Authority,NC047000001,FARIMONT SCATTERED SITES,Y,M,50,50,50,47,3,50,94,47,100,6,14.89,2.3,107,200,639,8796,3864,26.09,45.65,15.22,8.7,4.35,31.91,0,65.96,19.79,97.87,80.85,0,46.81,85.11,44.68,45,57.14,20.56,6.38,46.81,31.91,14.89,0,97.87,76.6,19.15,0,2.13,42,73,0,0,40.43,21.28,38.3,14.89,73.69,33.43,60.01,37,Robeson,155,961700,2,2026,N,N,Robeson,155,91052,Fairmont,22360,Fairmont town (part),C1,,9999,,31300,"Lumberton, NC Micropolitan Statistical Area",99999,,0,1,3709,966,S,,702 Holly St Apt,,Fairmont,NC,28340,1710,,28340,2,2,28340171002,S,,Apt,,0,,,,,100% Overall probable correctness,34.506324,-79.115048,9,S,4,U,**  Centroid Lat/Long   **,37155,3722360,37155961700,3.7156E+11,578,49,6.53999996,16.81999969,100,9528,2022/01/06 20:00:29+00,360538,339769,9106287467,9106280603,fha@fairmonthousing.org,9106287467,9106280603,FHA@fairmonthousing.org
-77.250877,35.827162,208,NC067,Robersonville Housing Authority,NC067000001,WEBB TERRACE,N,M,100,100,100,99,1,100,99,99,100,8,7.07,1.9,184,291,530,13348,7182,12.12,40.4,20.2,11.11,16.16,36.36,0,63.64,26.75,87.88,67.68,0,30.3,76.77,29.29,25.42,62.5,27.72,3.03,45.45,11.11,40.4,2.02,89.9,88.89,0,0,1.01,37,143,0,0,38.38,22.22,39.39,31.31,68.38,21.77,73.67,37,Martin,117,970600,1,1071,N,Y,Martin,117,92712,Robersonville,57100,Robersonville town,C1,,9999,,99999,,99999,,0,0,3701,2388,S,,202 E Green St Apt,,Robersonville,NC,27871,9533,,27871,2,3,27871953302,S,,Apt,,0,,,,,100% Overall probable correctness,35.827162,-77.250877,9,S,4,R,**  Centroid Lat/Long   **,37117,3757100,37117970600,3.7118E+11,503,65,23.37000084,13.03999996,96.97000122,9768,2022/01/06 20:00:29+00,629980,597603,2522172283,,jwhitfield@robersonvillehousing.com,2527996800,,jwhitfield@robersonvillehousing.com
-80.097744,35.896896,209,NC071,Thomasville Housing Authority,NC071000002,JAMES AVENUE,N,M,135,135,135,120,12,259,88.889999,117,97.5,5,11.97,2.8,326,238,385,10201,3661,26.97,16.85,23.6,8.99,23.6,38.46,0,37.61,17.72,89.74,72.65,2.56,81.2,93.16,79.49,9.17,25,4.29,20.51,64.1,8.55,6.84,0,77.78,71.79,0,0,5.98,5,48,100,38,11.11,33.33,55.56,11.97,57.84,30.64,65.68,37,Davidson,57,60800,1,1006,N,N,Davidson,57,93232,Thomasville,67420,Thomasville city (part),C1,,3120,"Greensboro--Winston-Salem--High Point, NC MSA",49180,"Winston-Salem, NC Metropolitan Statistical Area",99999,,1,0,3713,2862,Y,,404 James Ave,,Thomasville,NC,27360,2474,,27360,99,7,27360247499,H,,,,1,,,A,,90% Overall probable correctness,35.896896,-80.097744,S,,R,U,** Street-Level Rooftop **,37057,3767420,37057060800,3.70571E+11,344,200,2.45000005,3.68000007,98.29000092,7484,2022/01/06 20:00:29+00,554336,503506,3364756137,3364751671,lhunter@northstate.net,3364756137,3364751671,lhunter@ThomasvilleHA.org
