id,name,property_type,room_type,accommodates,bathrooms,bedrooms,price,extra_people,minimum_nights,number_of_reviews,review_scores_rating,cancellation_policy,reviews_per_month,price_gt_500
4873463,"Cozy Pied-a-Terre, the Heart of DC",Apartment,Entire home/apt,3,1,0,95,10,2,29,94,flexible,1.01,FALSE
16736650,"Large, welcoming studio in a central location",Apartment,Entire home/apt,2,1,0,200,0,1,2,90,flexible,0.55,FALSE
14999877,Newly Renovated Apartment in the Heart of DC,Apartment,Entire home/apt,2,1,1,100,0,27,0,NA,moderate,NA,FALSE
5955860,Spacious Dupont Circle Condo,Apartment,Entire home/apt,3,1,1,129,50,2,79,85,flexible,3.13,FALSE
15655208,Luxury historic rowhouse; Adams Morgan/Dupont/UStr,Townhouse,Entire home/apt,4,2.5,2,500,0,2,1,100,strict,1,FALSE
4022565,"Dupont, Adams Morgan, U Townhouse 3",Apartment,Private room,2,2.5,1,110,15,6,7,97,strict,0.23,FALSE
15968425,"Cozy 1-BR Apartment in Dupont, Walk Score of 98",Apartment,Entire home/apt,3,1,1,225,20,3,3,100,flexible,0.82,FALSE
1301700,DuPont/Logan Circle Studio,Apartment,Entire home/apt,2,1,1,79,0,3,4,89,flexible,0.09,FALSE
646183,2 Bed - Dupont/Adams Morgan/U St,Apartment,Entire home/apt,4,1,2,172,0,1,24,88,flexible,0.48,FALSE
14769106,Spacious & Sunny 1BR Apt @Dupont Circle with view!,Apartment,Private room,2,1,1,110,10,1,4,100,moderate,0.67,FALSE
16669509,15th Street Luxury Loft with parking,Apartment,Entire home/apt,4,2,2,1700,0,2,0,NA,flexible,NA,TRUE
18373434,A local's paradise,Apartment,Entire home/apt,3,1,1,110,0,1,0,NA,flexible,NA,FALSE
16243414,Hip Studio in Dupont Circle/U Street,Apartment,Entire home/apt,2,1,0,110,0,2,23,99,strict,5.66,FALSE
15784674,Dupont Circle Open Loft,Loft,Entire home/apt,2,1,0,115,0,3,3,100,flexible,1.41,FALSE
4218583,"Dupont, Adams Morgan U Townhouse 2",House,Private room,2,2.5,1,99,20,7,6,97,moderate,0.2,FALSE
13098667,"Sunny, Comfortable Studio in Ideal Location",Apartment,Entire home/apt,2,1,0,95,0,2,5,88,flexible,0.43,FALSE
16244345,"1 bedroom in beautiful apartment, great location!",Apartment,Private room,2,1,1,50,0,20,1,100,flexible,0.19,FALSE
5560185,Dupont West 3: Charming Studio,Townhouse,Entire home/apt,2,1,0,150,0,2,129,99,moderate,5.06,FALSE
5560149,Bright apartment in Dupont Circle,Apartment,Entire home/apt,2,1,1,150,15,1,19,96,moderate,0.95,FALSE
15554376,Extraordinary Dupont Circle Suite,Townhouse,Private room,3,1,2,95,50,3,11,95,strict,1.84,FALSE
12932894,Great 1 br apt in perfect location,Apartment,Entire home/apt,3,1,1,150,0,1,4,100,moderate,0.35,FALSE
16602888,Cute 2 BR 2.5 BA in the heart of it all!,Condominium,Entire home/apt,4,2.5,2,800,0,2,0,NA,flexible,NA,TRUE
16604304,2-BR/1-BA duplex in Dupont Circle,Apartment,Entire home/apt,5,1,2,300,0,1,0,NA,moderate,NA,FALSE
3329489,Yellow ADMO Row House,House,Private room,2,1,1,128,40,1,0,NA,flexible,NA,FALSE
12833506,U ST- Adams Morgan,Apartment,Entire home/apt,4,1,2,400,0,1,3,87,moderate,0.27,FALSE
8704621,Beautiful DuPont Circle Studio #714,Apartment,Entire home/apt,2,1,0,135,25,1,122,98,strict,6.33,FALSE
16437901,Spacious and Convenient Dupont studio,Apartment,Entire home/apt,3,1,0,120,0,2,3,100,strict,0.78,FALSE
16405079,DC Proper - The Lincoln Room,House,Private room,2,1,0,135,0,1,33,92,flexible,7.07,FALSE
17879596,Beautiful room in historic U Street rowhouse,Apartment,Private room,2,1.5,1,65,0,1,5,100,moderate,3.06,FALSE
4351015,Quiet room near Dupont Circle metro,House,Private room,1,1.5,1,74,0,3,14,89,moderate,0.45,FALSE
10836110,Stylish 1BR steps to 14th / Logan hot spots!,Apartment,Entire home/apt,2,1,1,130,50,3,47,99,moderate,3.19,FALSE
150109,Great apartment in perfect location,Apartment,Entire home/apt,2,1,1,135,20,6,22,98,strict,0.33,FALSE
13748806,"Perfect location in DuPont, D.C.",Apartment,Entire home/apt,4,1,1,275,0,1,0,NA,flexible,NA,FALSE
1198461,"DuPont Place 9 - Metro, kitchenette",Apartment,Entire home/apt,3,1,1,179,5,2,57,94,strict,1.33,FALSE
5294453,Stylish Studio in Dupont Circle,Apartment,Private room,2,1,1,100,30,1,0,NA,flexible,NA,FALSE
1198315,"DuPont Place 6, Metro, kitchenette",Apartment,Entire home/apt,2,1,0,129,0,2,85,92,strict,1.88,FALSE
2808417,"Upscale 1 BR (Dupont, U & 14th St.)",Apartment,Entire home/apt,3,1,1,140,0,2,66,99,strict,1.79,FALSE
17586779,Large Studio in Central Dupont Location,Apartment,Entire home/apt,2,1,0,95,15,1,5,90,flexible,2.78,FALSE
7800582,Dupont #2 Condo. Prime Location,Apartment,Entire home/apt,2,1,1,132,15,3,31,98,strict,3.43,FALSE
16143403,Huge Dupont apartment short walk from White House,Apartment,Entire home/apt,5,1,1,1e3,0,2,0,NA,strict,NA,TRUE
16176174,B - Great room for business traveler - Heart of DC,House,Private room,1,1,1,120,50,1,0,NA,strict,NA,FALSE
16627888,3 storey rowhome in perfect location!,House,Entire home/apt,6,2.5,3,160,0,1,0,NA,flexible,NA,FALSE
10340334,U Street/Dupont/AdamsMo 1BR!,Apartment,Entire home/apt,2,1,1,150,0,2,1,100,flexible,0.09,FALSE
13915106,Modern DuPont Studio #3,Apartment,Entire home/apt,2,1,0,110,0,1,69,96,strict,6.85,FALSE
3429149,Private bedroom in family home.,House,Private room,2,1,1,76,0,1,2,100,flexible,0.92,FALSE
1198049,"DuPont Place 3 - Metro, kitchenette",Apartment,Entire home/apt,2,1,NA,152,0,1,85,91,strict,1.85,FALSE
10635178,Great studio in a great location,Apartment,Entire home/apt,2,1,1,135,0,3,21,99,moderate,1.4,FALSE
18565018,Spacious studio in the heart of DC,Apartment,Entire home/apt,2,1,0,100,0,2,0,NA,moderate,NA,FALSE
7489397,Large 1BR Apartment in Dupont Circle,Apartment,Entire home/apt,4,1,1,126,0,3,4,95,moderate,0.21,FALSE
8967332,Slumber at Swann St ~ Parking!!,Apartment,Entire home/apt,6,2,2,149,10,3,51,96,strict,2.62,FALSE
184144,"Dupont Circle, Stunning Apt",Apartment,Entire home/apt,1,1,1,140,0,20,7,95,moderate,0.1,FALSE
15781557,Studio Steps from Dupont Circle,Condominium,Entire home/apt,2,1,0,85,0,2,4,90,flexible,1.08,FALSE
11851356,EXQUISITE DUPONT CIRCLE TOWNHOUSE CENTRAL DC,House,Entire home/apt,9,3,4,475,50,3,13,100,strict,0.98,FALSE
16600553,Furnished Studio Apt for Rent in Dupont Circle !!!,Apartment,Entire home/apt,1,1,0,100,0,20,1,100,flexible,1,FALSE
4083095,"MODERN COZY APT IN DUPONT CIRCLE ON 18 St, NW",Apartment,Entire home/apt,2,1,1,149,0,3,144,99,strict,4.61,FALSE
11848929,Heart of Dupont: Huge + Convenient,Apartment,Entire home/apt,3,1,1,100,25,2,31,96,moderate,2.24,FALSE
281806,BEST CITY HAS TO OFFER! 3 BEDROOMS!,Apartment,Entire home/apt,9,2,3,260,35,4,6,84,moderate,0.17,FALSE
5098674,"Comfortable DuPont, 2-Bed, Porch, Parking Option",House,Entire home/apt,6,1,2,295,25,3,25,91,strict,0.91,FALSE
2969776,Dupont Circle Apartment,Apartment,Entire home/apt,2,1,1,130,20,5,11,95,moderate,0.3,FALSE
3821677,Dupont Circle - Central & Spacious!,Apartment,Entire home/apt,3,1,1,115,25,2,17,90,flexible,0.52,FALSE
4411488,Great space in Historic Townhouse 5,House,Private room,2,2.5,1,99,15,2,9,84,strict,0.3,FALSE
13683673,Top floor bright studio in Dupont Circle,Apartment,Entire home/apt,2,1,0,275,13,2,4,80,flexible,0.7,FALSE
12733044,Splash of Style ~ Dupont Circle!,Apartment,Entire home/apt,4,1,1,120,20,3,34,96,strict,2.75,FALSE
17188095,Cozy private bedroom in a duplex in Dupont Circle,Boat,Private room,2,1,2,80,10,2,0,NA,flexible,NA,FALSE
17843420,Sunny Studio in Logan Circle,Apartment,Entire home/apt,3,1,0,111,0,1,6,97,moderate,6,FALSE
3785899,Sunny & central Dupont Circle gem!,Apartment,Entire home/apt,4,1,1,110,10,3,15,93,moderate,0.47,FALSE
