id,listing_url,neighbourhood,neighbourhood_cleansed,city,state,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy,calculated_host_listings_count,reviews_per_month
3781,https://www.airbnb.com/rooms/3781,East Boston,East Boston,Boston,MA,2128,42.36524121,-71.02936149,Apartment,Entire home/apt,2,1,1,1,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove}",125.00,0.00,75.00,2,$0.00 ,30,1125,14,7/10/2015,7/2/2018,99,10,10,10,10,10,10,super_strict_30,2,0.36
5506,https://www.airbnb.com/rooms/5506,Roxbury,Roxbury,Boston,MA,2119,42.3298085,-71.09559469,Guest suite,Entire home/apt,2,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",Bathtub,""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Luggage dropoff allowed"",""Long term stays allowed"",Other}",145.00,0.00,40.00,1,$0.00 ,3,730,71,3/21/2009,9/3/2018,95,10,10,10,10,9,10,strict_14_with_grace_period,6,0.61
6695,https://www.airbnb.com/rooms/6695,Roxbury,Roxbury,Boston,MA,2119,42.32994061,-71.09350511,Condominium,Entire home/apt,4,1,1,2,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed""}",169.00,,70.00,2,$8.00 ,3,730,75,8/6/2009,8/26/2018,96,10,10,10,10,9,9,strict_14_with_grace_period,6,0.68
6976,https://www.airbnb.com/rooms/6976,Roslindale,Roslindale,Boston,MA,2131,42.29243789,-71.13576525,Apartment,Private room,2,1,1,1,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Host greets you""}",65.00,0.00,0.00,1,$20.00 ,3,60,68,7/19/2009,7/31/2018,98,10,9,10,10,9,10,moderate,1,0.61
8789,https://www.airbnb.com/rooms/8789,Beacon Hill,Downtown,Boston,MA,2108,42.35918692,-71.06265111,Apartment,Entire home/apt,2,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Doorman,Elevator,Heating,Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Stove,""Patio or balcony"",""Long term stays allowed"",Other}",99.00,1000.00,150.00,1,$0.00 ,14,365,18,8/12/2014,8/27/2018,91,9,9,10,10,10,9,strict_14_with_grace_period,11,0.36
8792,https://www.airbnb.com/rooms/8792,Beacon Hill,Downtown,Boston,MA,2108,42.35849698,-71.06201144,Apartment,Entire home/apt,2,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Doorman,Elevator,Heating,Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Patio or balcony"",Other}",154.00,1000.00,250.00,1,$0.00 ,20,365,24,10/11/2009,8/15/2018,93,10,9,10,10,10,9,strict_14_with_grace_period,11,0.22
9273,https://www.airbnb.com/rooms/9273,East Boston,East Boston,Boston,MA,2128,42.36460804,-71.02902056,Apartment,Entire home/apt,4,2,2,2,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Heating,Washer,Dryer,""Smoke detector"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Hot water""}",225.00,,80.00,4,$20.00 ,7,365,14,10/7/2010,10/23/2016,100,10,10,10,10,9,9,super_strict_30,2,0.14
9824,https://www.airbnb.com/rooms/9824,Back Bay,Back Bay,Boston,MA,2115,42.34949627,-71.08595385,Serviced apartment,Entire home/apt,2,1,,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Heating,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Stove,""Luggage dropoff allowed"",""Long term stays allowed""}",209.00,,,1,$0.00 ,2,365,22,6/18/2011,6/18/2016,78,8,9,10,9,10,8,super_strict_30,24,0.25
10758,https://www.airbnb.com/rooms/10758,Allston-Brighton,Allston,Boston,MA,2134,42.35344917,-71.13179683,Other,Private room,1,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Heating,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher""}",115.00,,,1,$0.00 ,1,90,2,10/22/2014,10/3/2015,60,6,5,8,8,8,7,moderate,4,0.04
10807,https://www.airbnb.com/rooms/10807,Allston-Brighton,Allston,Boston,MA,02134-1704,42.35412286,-71.13048573,House,Private room,2,1,1,1,Real Bed,{},80.00,,,1,$0.00 ,1,730,1,10/13/2014,10/13/2014,60,10,4,4,6,8,8,strict_14_with_grace_period,4,0.02
