RecordID,CertificateNumber,BusinessName,InspectionDate,InspectionResult,Industry,Borough,BuildingNumber,Street,Street2,UnitType,Unit,Description,City,State,Zip,Longitude,Latitude
6874-2016-ENFO,70037825,EL PALOMAR DELI GROCERY CORP,2016-02-03T00:00:00Z,Violation Issued,Cigarette Retail Dealer - 127,Brooklyn,79,SARATOGA AVE,NA,NA,NA,NA,BROOKLYN,NY,11233,-73.91743541,40.68420079
42835-2017-ENFO,9368201,"PASCAP CO., INC.",2017-06-22T00:00:00Z,No Violation Issued,Scrap Metal Processor - 118,Bronx,4250,BOSTON RD,NA,NA,NA,NA,BRONX,NY,10475,-73.82260898,40.88852718
80118-2016-ENFO,80022300,CONEY ISLAND 7 & 7 SUPERMARKET INC,2016-12-21T00:00:00Z,Violation Issued,Tobacco Prod'T Sales - 890,Brooklyn,2904,STILLWELL AVE,NA,NA,NA,NA,BROOKLYN,NY,11224,-73.98151505,40.57672654
73150-2017-ENFO,9395026,LUCKY ZHANG'S FAMILY II CORP.,2017-12-01T00:00:00Z,No Evidence of Activity,Stoop Line Stand - 033,Brooklyn,5622,8TH AVE,NA,NA,NA,NA,BROOKLYN,NY,11220,-74.00739352,40.63758814
7543-2018-ENFO,9400582,ALBERT COST CUTTERS CORP,2018-01-25T00:00:00Z,No Evidence of Activity,Electronic Store - 001,Bronx,600,E 138TH ST,NA,NA,NA,NA,BRONX,NY,10454,-73.91624726,40.80629191
34836-2017-ENFO,3078369,NELSON MOREL,2017-05-25T00:00:00Z,Pass,Wearing Apparel - 450,Manhattan,1569,SAINT NICHOLAS AVE,NA,NA,NA,NA,NEW YORK,NY,10040,-73.93033555,40.85397697
23267-2016-ENFO,5395544,CIBAO EXPRESS GROCERY CORP.,2016-04-19T00:00:00Z,Violation Issued,Cigarette Retail Dealer - 127,Queens,17142,LIBERTY AVE,NA,NA,NA,NA,JAMAICA,NY,11433,-73.7868207,40.70391885
58660-2016-ENFO,3059543,INK IT UP TAT2S INC.,2016-08-23T00:00:00Z,Pass,Salons And Barbershop - 841,Bronx,2444,WALTON AVE,NA,NA,NA,NA,BRONX,NY,10468,-73.90063176,40.86187917
17630-2017-ENFO,50075671,CARLITOS DELI GROCERY CORP,2017-03-12T00:00:00Z,No Violation Issued,Cigarette Retail Dealer - 127,Brooklyn,540,HEGEMAN AVE,NA,NA,NA,NA,BROOKLYN,NY,11207,-73.89152171,40.65997857
67860-2017-ENFO,9394503,CHUCKY DESIGNER SHOES LTD.,2017-11-02T00:00:00Z,No Violation Issued,Wearing Apparel - 450,Brooklyn,1304,KINGS HWY,NA,NA,NA,NA,BROOKLYN,NY,11229,-73.95987584,40.60808585
56373-2016-ENFO,9346303,MII VAPE ENTERPRISE INC,2016-08-24T00:00:00Z,No Violation Issued,Cigarette Retail Dealer - 127,Manhattan,27,WAVERLY PL,NA,NA,NA,NA,NEW YORK,NY,10003,-73.99503165,40.7304631
74638-2016-ENFO,9355570,"Staples The Office Superstore East, Inc.",2016-11-23T00:00:00Z,No Violation Issued,Electronic & Home Appliance Service Dealer - 115,Manhattan,776,8TH AVE,NA,NA,NA,NA,NEW YORK,NY,10036,-73.98729012,40.76064377
67926-2016-ENFO,9359583,KING DAVID CENTER FOR NURSING & REHIBILITATION,2016-10-14T00:00:00Z,No Violation Issued,Parking Lot - 050,Brooklyn,190,BAY 31ST ST,NA,NA,NA,NA,BROOKLYN,NY,11214,-73.99710486,40.59759122
9046-2017-CMPL,3076140,950 FAIR FOOD CORP.,2017-07-07T00:00:00Z,Pass,Supermarket - 819,Bronx,950,WESTCHESTER AVE,NA,NA,NA,NA,BRONX,NY,10459,-73.89632612,40.82238724
6659-2017-ENFO,3059300,S & K WARBASSE PHARMACY INC.,2017-01-27T00:00:00Z,Pass,Drug Store Retail - 810,Brooklyn,499,NEPTUNE AVE,NA,NA,NA,NA,BROOKLYN,NY,11224,-73.97208949,40.57982901
4063-2017-ENFO,5406778,"1129 BLAKE GROCERY, INC.",2017-01-14T00:00:00Z,Violation Issued,Cigarette Retail Dealer - 127,Brooklyn,1129,BLAKE AVE,NA,NA,NA,NA,BROOKLYN,NY,11208,-73.87597103,40.67061809
21081-2016-ENFO,9334662,NEW UTRECHT SURGICAL SUPPLIES CORP.,2016-03-30T00:00:00Z,No Violation Issued,Dealer In Products For The Disabled - 119,Brooklyn,4624,NEW UTRECHT AVE,NA,NA,NA,NA,BROOKLYN,NY,11219,-73.99447277,40.63888378
56592-2016-ENFO,5398064,"LANFRANCO, JUNIOR",2016-08-26T00:00:00Z,Violation Issued,Grocery-Retail - 808,Brooklyn,944,HEGEMAN AVE,NA,STE,A,NA,BROOKLYN,NY,11208,-73.87794085,40.66582507
4178-UNIT,9435586,"GRAY LINE NEW YORK TOURS, INC.",2018-08-15T00:00:00Z,Pass,Sightseeing Bus - 078,Brooklyn,43,2ND AVE,NA,NA,NA,NA,BROOKLYN,NY,11215,-73.9921482,40.6740635
70917-2017-ENFO,9388845,MODELLS SPORTING GOODS INC,2017-11-20T00:00:00Z,No Violation Issued,Wearing Apparel - 450,Manhattan,795,COLUMBUS AVE,NA,NA,NA,NA,NEW YORK,NY,10025,-73.9662715,40.79455899
16014-2017-ENFO,5409301,113 DELI GROCERY INC.,2017-03-06T00:00:00Z,Violation Issued,Grocery-Retail - 808,Queens,11227,JAMAICA AVE,NA,NA,NA,NA,RICHMOND HILL,NY,11418,-73.83615038,40.69755217
62450-2017-ENFO,9402714,AFRIDA ANAN KOTWAL INC,2017-10-03T00:00:00Z,No Violation Issued,Cigarette Retail Dealer - 127,Queens,20802,48TH AVE,NA,NA,NA,NA,OAKLAND GARDENS,NY,11364,-73.77268026,40.75429665
6682-2018-ENFO,70044228,TWIN MOUNT SERVICE STATION INC.,2018-01-28T00:00:00Z,Violation Issued,Cigarette Retail Dealer - 127,Bronx,3333,E TREMONT AVE,NA,NA,NA,NA,BRONX,NY,10461,-73.83011705,40.83481365
35175-2016-ENFO,9340461,"IJAZ, MOHAMMAD",2016-05-23T00:00:00Z,No Violation Issued,Cigarette Retail Dealer - 127,Brooklyn,6118,18TH AVE,NA,NA,NA,NA,BROOKLYN,NY,11204,-73.98801548,40.6212837
27831-2017-ENFO,5405495,B & M HOT BAGEL AND GROCERY INC.,2017-04-27T00:00:00Z,Violation Issued,Grocery-Retail - 808,Staten Island,203,GIFFORDS LN,NA,NA,NA,NA,STATEN ISLAND,NY,10308,-74.15251625,40.55624383
19425-2017-ENFO,9374820,B L MOBIL CORP.,2017-03-13T00:00:00Z,No Violation Issued,Secondhand Dealer [General] - 006,Queens,8422,ROOSEVELT AVE,NA,NA,NA,NA,JACKSON HEIGHTS,NY,11372,-73.88178217,40.74785093
32401-2018-ENFO,9411036,MARIO RIZZO,2018-06-27T00:00:00Z,No Violation Issued,Locksmith - 062,Brooklyn,141,BAY 32ND ST,NA,NA,NA,NA,BROOKLYN,NY,11214,NA,NA
73517-2016-ENFO,9369734,TORRES OCTAVIO,2016-11-16T00:00:00Z,No Violation Issued,Cigarette Retail Dealer - 127,Queens,17825,JAMAICA AVE,NA,NA,NA,NA,JAMAICA,NY,11432,-73.78269211,40.7080228
