ID,name,sex,age,height,weight,team,year,season,city,sport,event,medal
22,Andreea Aanei,F,22,170,125,Romania,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Women's Super-Heavyweight,NA
51,Nstor Abad Sanjun,M,23,167,64,Spain,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Individual All-Around,NA
51,Nstor Abad Sanjun,M,23,167,64,Spain,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Floor Exercise,NA
51,Nstor Abad Sanjun,M,23,167,64,Spain,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Parallel Bars,NA
51,Nstor Abad Sanjun,M,23,167,64,Spain,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horizontal Bar,NA
51,Nstor Abad Sanjun,M,23,167,64,Spain,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,NA
51,Nstor Abad Sanjun,M,23,167,64,Spain,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Pommelled Horse,NA
55,Antonio Abadia Beci,M,26,170,65,Spain,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 5,000 metres",NA
62,Giovanni Abagnale,M,21,198,90,Italy,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Pairs,Bronze
65,Patimat Abakarova,F,21,165,49,Azerbaijan,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Women's Flyweight,Bronze
73,Luc Abalo,M,31,182,86,France,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball,Silver
105,Ilyas Abbadi,M,23,175,75,Algeria,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Middleweight,NA
110,Abubakar Abbas Abbas,M,20,175,66,Bahrain,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 400 metres,NA
135,Lois Abbingh,F,23,178,72,Netherlands,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,NA
138,Salwan Jasim Abbood Abbood,M,24,180,104,Iraq,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Heavyweight,NA
141,Clare Abbott,F,30,167,58,Ireland,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",NA
141,Clare Abbott,F,30,167,58,Ireland,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",NA
149,Mara Katherine Abbott,F,30,163,52,United States,2016,Summer,Rio de Janeiro,Cycling,"Cycling Women's Road Race, Individual",NA
161,Hossam Abdalla,M,28,203,97,Egypt,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,NA
170,Maha Abdalsalam Gouda,F,18,172,61,Egypt,2016,Summer,Rio de Janeiro,Diving,Diving Women's Platform,NA
203,Ahmed Abdel Naeim,M,31,197,87,Egypt,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,NA
213,Samy Abdel Razek,M,36,170,60,Egypt,2016,Summer,Rio de Janeiro,Shooting,"Shooting Men's Air Pistol, 10 metres",NA
213,Samy Abdel Razek,M,36,170,60,Egypt,2016,Summer,Rio de Janeiro,Shooting,"Shooting Men's Free Pistol, 50 metres",NA
225,Shaimaa Abdel-Latif-Hashad,F,35,165,57,Egypt,2016,Summer,Rio de Janeiro,Shooting,"Shooting Women's Air Rifle, 10 metres",NA
227,Ahmed Abdelaal,M,27,188,89,Egypt,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,NA
228,Mahmoud Abdelaal,M,24,176,60,Egypt,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Lightweight,NA
229,Mohamed Ali Abdelaal,M,26,175,81,Egypt,2016,Summer,Rio de Janeiro,Judo,Judo Men's Half-Middleweight,NA
232,Ibrahim Ramadan Ibrahim Abdelbaki,M,28,173,77,Egypt,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Middleweight,NA
236,Ragab Abdelhay Saad Abdelrazek Abdallah,M,25,170,94,Egypt,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Middle-Heavyweight,NA
239,Ayoub Abdellaoui,M,23,184,68,Algeria,2016,Summer,Rio de Janeiro,Football,Football Men's Football,NA
240,Leila Abdelmoez,F,19,160,46,Egypt,2016,Summer,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,NA
242,Ahmed Abdelrahman,M,20,165,60,Egypt,2016,Summer,Rio de Janeiro,Judo,Judo Men's Extra-Lightweight,NA
246,Mamdouh Abdelrehim,M,26,207,90,Egypt,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,NA
250,Saeid Morad Abdevali,M,26,170,80,Iran,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
